DEFAULT;100
T09-050-10-0001;200
T09-050-10-0013;200
T09-050-10-0101;200
T09-050-10-0102;200
T09-050-10-0103;200
T09-050-10-0104;200
T09-050-50-0002;200
T09-051-10-0001;200
T09-051-10-0002;200
T09-051-10-0003;200
T09-051-10-0004;200
T09-070-10-0051;200
T09-070-10-0052;200
T09-070-10-0053;200
T09-070-10-0054;200
T09-070-10-0055;200
T09-070-10-0056;200
T09-070-10-0057;200
T09-070-10-0058;200
T09-070-10-0059;200
T09-070-10-0060;200
T09-070-10-0061;200
T09-070-10-0062;200
T09-070-10-0063;200
T09-070-10-0064;200
T09-070-10-0065;200
T09-070-10-0066;200
T09-070-10-0067;200
T09-070-10-0068;200
T09-070-10-0069;200
T09-070-10-0070;200
T09-070-10-0071;200
T09-070-10-0072;200
T09-070-10-0073;200
T09-070-10-0074;200
T09-070-10-0075;200
T09-070-10-0076;200
T09-070-10-0077;200
T09-070-10-0078;200
T09-070-10-0079;200
T09-070-10-0078;200
T09-070-10-0079;200
T09-070-20-0051;200
T09-070-20-0052;200
T09-070-20-0053;200
T09-070-20-0054;200
T09-070-20-0055;200
T09-070-20-0056;200
T09-070-20-0057;200
T09-070-20-0058;200
T09-070-20-0059;200
T09-070-20-0060;200
T09-070-20-0061;200
T09-070-20-0062;200
T09-070-20-0063;200
T09-070-20-0064;200
T09-070-20-0065;200
T09-070-20-0066;200
T09-070-20-0067;200
T09-070-20-0068;200
T09-070-20-0069;200
T09-070-20-0070;200
T09-070-20-0071;200
T09-070-20-0072;200
T09-070-20-0073;200
T09-070-20-0074;200
T09-070-20-0075;200
T09-070-20-0076;200
T09-070-20-0077;200
T09-070-20-0078;200
T09-070-20-0079;200
T09-070-20-0080;200
T39;300
